NomSite,Sigle,Superficie,Vegetation,NbreDate,Date d'echantillonnage,Prof1,Prof2,Latitude,Longitude,Diagramme complet,Charbons et PAF
Pessière (Lac ˆ la),PESS,4,pn,7,30-10-1998,545.5,550.5,493030,791425,c,c Paleofire
Petel (Lac),PETEL,122,PN,5,,164,170,503300,661600,c,
Petit-Gasp_ (Tourbière),PETITG,0.79,SBj,5,21-06-1996,120,122,484842.17,641523.4,o,chb p
Philibert (Lac ˆ),PHILIBER,1,SBj-SBb,1,31-03-1994,550,555,491240,660310,b,
Piedmont,PIED,,ET,1,,,,,,p,
Pine Lake,PINE,,PN,0,,,,510800,691600,c,
Pink Lake,PINK,9,EL (EC),3,,295,300,452810,754830,c,
Pluvieux (lac),PLU,14,EBj,1,,506,514,475038.19,692110.29,c,c
Pointe-Taillon (Lac St-Jean),TAIL,,SEr,1,,135,150,484045,715300,p,
Pole Lake,POLE,2.62,PC,0,,0,0,533000,632000,c,
Port-au-Saumon,PAS,0.1,SBj,0,,0,0,474528,695703,p,
Poulin (lac),POU,2.3,ET,3,,600,605,464944,712945,c,
Princeville,PRINCVIL,2.5,ET,0,21-07-1969,0,0,460845,715609,c,
Prudent,PRU,0.5,SBb,2,,240,250,481810,720234,c,
Pyramid Hills Lake,PYRAMID,,TF,7,,180,185,573800,651000,c,
Quenouilles (Lac aux),SAV2,2,EBj,3,,908,918,461019,742345,c,
Ramah (baie de),RAMA1,0.5,T,1,,40,43,585309,641001,p,
Ramsay Lake,RAMSAY,9,ET,5,,930,942,453600,760600,c,
Rat Musqu_,RMUS,10.2,SBb,1,,369,379,474301,702208,p,
Raymond (lac ˆ),RAYM,0.5,EBj-SBj,5,07-07-1989,1030,1032,481403,655058,c,
Raymond (St-),RAY,100,EBj,2,12-07-1969,550,560,465331,714828,c,
Red River,REDRIVER,2.5,EBj/ET,0,10-07-1969,0,0,454015,711930,c,
R_servoir Fullerton,FULLER,30,ET,0,02-06-1993,,,450800,722530,p,
Rifou (Lac),RIFOU,3,SEpn,8,28-03-1993,700,705,485940,655900,c,p
Rivière aux Feuilles T,RAF-T,3,TF,4,,125,126,581338.89,720425.31,c,
Rivière aux Feuilles-1,RAF1,3.1,TF,3,,155,165,581358,720401,c,
Rivière aux Feuilles-2,RAF2,31.4,TF,7,,180,190,581301,715700,c,
Eternit_ I et II (Rivière),RIVET,,,0,,,,481800,702500,,
Rivière Ouelle,Ouell,,,0,,,,472600,695700,,
Rivière-du-Loup,RdL,,,0,,,,474700,693100,,
Rivière-du-Loup,RIVLP,,,0,,,,474700,693100,,
Rivière-du-Moulin,RDM91,,SEr,1,,,,482530,710200,p,
Robin (lac ˆ) (lac des),ROBIN,7,EBj (champs),4,14-09-1978,211,222,480303.39,651604.01,c,
Romer (lac),ROM,6,EC,4,16-05-1978,430,440,455748.59,731958.7,c,
Rond (lac),ROND,0.8,EBj,4,,340,350,461250,743050,c,
Ruisseau Cyprès,Cypres,,,0,,,,463500,741300,,
Rupert House,RH,,,0,,,,512800,784500,,
Sable (Lac au),SABLE,100,PN,3,,253,258,512400,661300,c,
Sagamit_,Sagam,,,0,,,,465700,712000,,
Saint-Fabien,Fabien,,,0,,,,481900,685100,,
Saint-Lin,Lin,,,0,,,,455500,734700,,
Saint-Michel,Michel,,,0,,,,454700,742900,,
Saint-Omer,Omer,,,0,,,,480700,661300,,
Saint-Sim_on,Simeon,,,0,,,,475000,695300,,
Sainte-Agate,Agate,,,0,,,,460300,742000,,
Sainte-Victoire,Victoire,,,0,,,,455600,730600,,
Sam (Lac ˆ),SAM,1,EBj,6,,410,415,463914,725844,c,
Sandy Cove,SANDYCO,200,TF,5,,220,250,542400,574300,c,c
Sapinière tourbeuse de Monsabrais,MONSA2,12.5,sbb-seb,3,29-10-1996,150,151,482758.11,792646.32,c,paf chb
Shefford,SHE,4.7,ET,10,03-12-1974,,,452132,723505,c,
Sheldrake lac (1),SHEL1,,TF,6,,263,263,563701,760930,c,
Sheldrake lac (2),SHEL2,,TF,0,,0,0,563701,760930, p,
Sheldrake lac (3),SHEL3,,TF,3,,133,134,565230,762300,c,
Sheldrake lac (4),SHEL4,,TF,4,,160,161,563701,760730,p,
Small Tea Field (1),STF1,550,EC,4,,429,444,450758,741730,c,
Small Tea Field (2),STF2,550,EC,0,,0,0,450815,741650,c,
Smoky Hill Falls,Smokey,,,0,,,,512700,783200,,
Snow Lake,SNOW,160,TF,3,,140,145,563900,635300,c,
Sona Lake East,SONA-E,,PC,0,,0,0,533400,635200,c,
Sona Lake West,SONA-W,0.1,PC,1,,260,265,533500,635700,c,
Square Forks Valley Lake,SQUARE,3,SEpN,1,26-03-1994,490,495,483445,661602,b,chb
Square Lake,SQUAREL,100,Ta,4,,685,715,583800,633600,,
St-Arsène,Arsene,,,0,,,,475500,682600,,
St-Bonaventure Bog,BonavB,,,0,,,,455800,724300,,
St-Boniface Bog,BonifB,,,0,,,,463000,725000,,
St-Etienne Bog,EtienB,,,0,,,,724558.85,462553.75,,
St-Eugène Bog,EugB,,,0,,,,454800,724300,,
St-Germain Bog,GerB,,,0,,,,454500,723500,,
St-Janvier,janvier,,,0,,,,454300,735400,,
St-Jean (Tourbière),LANSTJE,200,EC,4,,275,285,460000,731301,c,
Sud-Ouest (Lac du),CRA1B,3.75,T,2,,48,50,611545,734240,c,
Sugluk Inlet,Sugl,,,0,,,,621500,753000,,
Swanzey bog (1),SWA1,0.3,Chênaies,0,,0,0,425323,721853,c,
Swanzey bog (2),SWA2,0.3,Chênaies,3,,117,120,425323,721853,c,
Tania (lac),TANIA,2,ET,6,,810,820,454630,741814,c,
Tasiat (près du Lac),LT1,,Ta,4,,70,80,590830,750900,c,
Tasiguluk (1),TASI1,0.1,T,0,,0,0,583140,640910,c,
Tasiguluk (2),TASI2,0.1,T,0,,0,0,583140,640910,c,
Tasiguluk (3),TASI3,0.1,T,0,,0,0,583140,640910,c,
Tassiujak,LAU,,TF,3,04-01-1977,194,199,583809,700657,c,
Terrien (Petit Lac),TERRIEN,3.5,EBj,1,,626,638,463500,703630,c,
Timmins (87-SM-066),87SM066,,PN,0,,,,483400,804800,c,
