Var_,VarCode,VarName
919,Bet.co,Betula (corroded)
574,Bet.sh,Betula (shrub)
857,Bet.tr,Betula (tree)
575,Bet.al,Betula alleghaniensis
1010,Bet.d.sh,Betula det. Betula (shrub)
1009,Bet.d.tr,Betula det. Betula (tree)
3674,Bet.di,Betula divaricata
3126,,Betula exilis
1578,Bet.fr,Betula fruticosa
3431,Bet.hu,Betula humilis
3675,,Betula middendorffii
3208,Bet.na,Betula nana
1577,Bet.na.e,Betula nana subsp. exilis
3643,Bet.na-t,Betula nana-type
576,Bet.pa,Betula papyrifera
3461,Bet.pe,Betula pendula
1579,Bet.pl,Betula platyphylla
3462,Bet.pu,Betula pubescens
3676,,Betula sect. Albae
1289,Bet.Be,Betula sect. Betula
3678,Bet.Co,Betula sect. Costatae
1291,Bet.Fr,Betula sect. Fruticosae
3677,Bet.Hu,Betula sect. Humiles
1290,Bet.Na,Betula sect. Nanae
1011,Bet.ud,Betula undiff.
2890,Be/Co/My,Betula/Corylus/Myrica
327,Betae,Betulaceae
357,Betae.ud,Betulaceae undiff.
1259,Be/My,Betulaceae/Myricaceae
1258,Be/My.ud,Betulaceae/Myricaceae undiff.
30,Bet.gr.d,Betula-grain diameter
349,Bid,Bidens
31,Bid-t,Bidens-type
1885,Bigae,Bignoniaceae
3290,Bigae.ud,Bignoniaceae undiff.
3433,,Bilderdykia convolvulus
2697,Bil,Billardiera
2696,Bil.s,Billardiera scandens
3298,Bis,Bischofia
2246,,Bistorta
537,,Bistorta bistortoides
577,Bit.t,Bitectatodinium tepikiense
2676,Bleae,Blechnaceae
2675,Ble,Blechnum
1768,,Blechnum cf. B. imperiale
3129,Ble.cf.t,Blechnum cf. B. tabulare
1826,,Blechnum imperiale-type
3513,Ble.s,Blechnum serrulatum
3130,Ble.t-t,Blechnum tabulare-type
1058,Ble-t,Blechnum-type
2431,Bli,Blighia
2432,Bli.u,Blighia unijugata
1891,Boc,Bocconia
1353,Boe,Boehmeria
2605,Boe-t,Boehmeria-type
1533,Brh,Boerhavia
1717,Bomae,Bombacaceae
3286,Bomae.ud,Bombacaceae undiff.
3092,Bon,Bonamia
32,Borae,Boraginaceae
1537,Borae.Mp,Boraginaceae cf. Mertensia paniculata
1074,Borae.ud,Boraginaceae undiff.
1827,Brr,Borreria
3041,Brr.cf.l,Borreria cf. B. latifolia
3139,Brr.ud,Borreria undiff.
2816,Bos,Bossiaea
33,Bot,Botrychium
1349,Bot.b,Botrychium boreale
2216,Bot.cf.d,Botrychium cf. B. dissectum
2586,Bot.cf.l,Botrychium cf. B. lunaria
1536,Bot.cf.m,Botrychium cf. B. multifidum
914,Bot.la,Botrychium lanceolatum
1458,Bot.lu,Botrychium lunaria
951,Bot.m,Botrychium multifidum
548,Bot.s,Botrychium simplex
2321,Bot.s-t,Botrychium simplex-type
952,Bot.ud,Botrychium undiff.
851,Bot.v,Botrychium virginianum
1068,Bot-t,Botrychium-type
326,Btr,Botryococcus
2818,Btr.b,Botryococcus braunii
1698,Bou,Bougainvillea
2348,Bch,Brachystegia
34,Brs.s,Brasenia schreberi
419,Bra,Brassica
3212,,Brassica kaber
898,cf.Bra,Brassicaceae cf. Brassica
70,Braae.ud,Brassicaceae undiff.
2948,Braae-t,Brassicaceae-type
2947,Braae-tu,Brassicaceae-type undiff.
1957,Bra-t,Brassica-type
1718,Brv,Bravaisia
2353,Brd,Bridelia
580,Bri,Brigantedinium
581,Bri.s,Brigantedinium simplex
878,Broea,Bromeliaceae
1828,Broea.I,Bromeliaceae (type I)
1240,Broea.ud,Bromeliaceae undiff.
2075,Bsm,Brosimum
1164,Bryes,Bryales
3685,Bryes.ud,Bryales undiff.
1168,Bryta,Bryophyta
1243,Bryta.ud,Bryophyta undiff.
659,Bryda,Bryopsida
187,Bryda.ud,Bryopsida undiff.
1972,Buc,Buchnera
1117,Bud,Buddleja
3042,Budae,Buddlejaceae
3043,Bud-t,Buddleja-type
2699,Blb-t,Bulbinopsis-type
1190,Bul.i,Bullinularia indica
36,Bum,Bumelia
1919,Bum-t,Bumelia-type
1012,Bup,Bupleurum
1267,Bup-t,Bupleurum-type
2750,Bus,Bursaria
37,Bur,Bursera
3184,Bur.m,Bursera microphylla
3573,Bur.s,Bursera simaruba
2036,Burae,Burseraceae
3287,Burae.ud,Burseraceae undiff.
3463,,Butomaceae
582,But.u,Butomus umbellatus
2629,Buxae,Buxaceae
2628,Bux,Buxus
1719,Byr,Byrsonima
1892,Byr-t,Byrsonima-type
38,Cab,Cabomba
3123,Cabae,Cabombaceae
1680,Cacae,Cactaceae
3186,Cacae.ud,Cactaceae undiff.
1880,Caeae,Caesalpiniaceae
2151,Caeae.ud,Caesalpiniaceae undiff.
2331,Cae-t,Caesalpinia-type
2106,Cld,Calandrinia
1893,Ccl,Calceolaria
583,Caa.p,Calla palustris
3093,Cdr,Calliandra
3687,Ro:Cal.a,Callidina angusticollis
2819,Cai,Callistemon
39,Cll,Callitriche
2700,Cli,Callitris
2898,,Calluna
2897,Clv.v,Calluna vulgaris
3299,Clp,Calophyllum
40,Cal,Caltha
3146,,Caltha biflora
2231,Cal.l,Caltha leptosepala
2944,Cal.p,Caltha palustris
585,Cal-t,Caltha-type
3121,Clcae,Calycanthaceae
939,Clc,Calycanthus
3514,Clc.f,Calycanthus floridus
1681,Cyc,Calycera
1682,Cycae,Calyceraceae
3300,Cyi,Calycosia
1517,Cyg,Calystegia
1338,Cyg.s,Calystegia sepium
872,Cma,Camassia
974,Cma-t,Camassia-type
813,Cam,Campanula
421,Cam.a-t,Campanula aparinoides-type
422,Cam.r-t,Campanula rotundifolia-type
423,,Campanula uliginosa-type
351,Camae,Campanulaceae
41,Camae.ud,Campanulaceae undiff.
586,Cam-t,Campanula-type
1975,Cmp,Campomanesia
42,Canae,Cannabaceae
1208,Canae.ud,Cannabaceae undiff.
2899,Canae-t,Cannabaceae-type
426,Can.s,Cannabis sativa
424,Can.s-t,Cannabis sativa-type
1582,Cao,Canotia
2415,Cth,Canthium
2416,Cth.g,Canthium gueinzii
2417,Cth.s,Canthium schimperianum
1829,Cpr-t,Caperonia-type
2105,Cppae,Capparaceae
394,Capae,Caprifoliaceae
43,Capae.ud,Caprifoliaceae undiff.
3565,Cpe-t,Capsella-type
3230,Cia,Caraipa
531,carb%dm,Carbonates (percent dry mass)
2178,Cp,Carbonized particles
3017,Cp>5,Carbonized particles (>5 _m)
3045,Cp>50,Carbonized particles (>50 _m)
2973,Cp5-150,Carbonized particles (5-150 _m)
3044,Cp5-50,Carbonized particles (5-50 _m)
3046,Cp/ml,Carbonized particles (particles/ml)
2248,Crd,Cardamine
3689,Crd.pr-t,Cardamine pratensis-type
1086,Crd-t,Cardamine-type
1721,Cdm,Cardiospermum
2332,Cdm.cf.h,Cardiospermum cf. C. halicacabum
2460,Cdu,Carduus
1297,Crx,Carex
1976,Cna,Cariniana
3185,Cng-t,Carnegiea-type
1429,Cpn,Carpinus
1319,Cpn.b,Carpinus betulus
1332,Cpn.o,Carpinus orientalis
1505,Cpn-t,Carpinus-type
44,Car,Carya
1978,Cyo,Caryocar
1979,Cyoae,Caryocaraceae
2090,Cryae.sm,Caryophyllaceae (small)
1280,C.cf.Dth,Caryophyllaceae cf. Dianthus
2234,cf.Lyn,Caryophyllaceae cf. Lychnis
2701,cf.Ste.p,Caryophyllaceae cf. Stellaria pungens
1013,Cryae.ud,Caryophyllaceae undiff.
3392,Ca/Ch,Caryophyllaceae/Chenopodiaceae
1980,Cse.re,Casearia (reticulate)
2056,Css,Cassia
2380,Css.m,Cassia mimosoides
1958,Css-t,Cassia-type
1153,Csp,Cassiope
589,Csp.t-t,Cassiope tetragona-type
2643,Csp-t,Cassiope-type
47,Cas,Castanea
590,Cas.d,Castanea dentata
2657,Cas.s,Castanea sativa
3349,Cnp/Lth,Castanopsis/Lithocarpus
1894,Cst-t,Castilla-type
1276,Cja,Castilleja
2704,Csr,Casuarina
2702,Csr<23,Casuarina (<23 _m)
2751,Csr<25,Casuarina (<25 _m)
2703,Csr>23,Casuarina (>23 _m)
3516,Csr.l,Casuarina litorea
2752,Csr.ud,Casuarina undiff.
2865,Csrae,Casuarinaceae
1561,Cat.s,Catalpa speciosa
3232,Cto,Catostemma
1085,Cau,Caulophyllum
2589,Cau.t,Caulophyllum thalictroides
48,Cea,Ceanothus
1472,Cea-t,Ceanothus-type
781,Cec,Cecropia
1817,Cecae,Cecropiaceae
3095,Cdl,Cedrela
3094,Cdl.cf.f,Cedrela cf. C. fissilis
2249,Ced,Cedrus
1562,Clsae,Celastraceae
2350,Ce/Hi,Celastraceae/Hippocrateaceae
359,Cls,Celastrus
2447,Csa,Celosia
2448,Csa.t,Celosia trigyna
49,Cel,Celtis
1981,Cel.P4,Celtis (tetraporate)
591,Cel.o,Celtis occidentalis
2147,Cel.ud,Celtis undiff.
829,Ce/Ma,Celtis/Maclura
946,Ce/Ma-t,Celtis/Maclura-type
1415,Cel-t,Celtis-type
592,Cen,Centaurea
1336,Cen.cy,Centaurea cyanus
3566,Cen.cy-t,Centaurea cyanus-type
3440,Cen.ja,Centaurea jacea
3441,Cen.sc,Centaurea scabiosa
3567,Cen.sc-t,Centaurea scabiosa-type
3568,Cen.so-t,Centaurea solstitialis-type
1392,Cen.ud,Centaurea undiff.
1510,Cen-t,Centaurea-type
2797,Ctu,Centaurium
1641,Cntae,Centrolepidaceae
